,date,li_price
856,2018-06-19,107.5
857,2018-06-20,104.5
858,2018-06-21,104.5
859,2018-06-22,104.5
860,2018-06-25,104.5
861,2018-06-26,104.5
862,2018-06-27,102.5
863,2018-06-28,102.5
864,2018-06-29,102.5
865,2018-07-02,102.5
866,2018-07-03,102.5
867,2018-07-04,99.5
868,2018-07-05,97.5
869,2018-07-06,97.5
870,2018-07-09,97.5
871,2018-07-10,95.5
872,2018-07-11,95.5
873,2018-07-12,95.5
874,2018-07-13,95.5
875,2018-07-16,95.5
876,2018-07-17,95.5
877,2018-07-18,95.5
878,2018-07-19,95.5
879,2018-07-20,95.5
880,2018-07-23,93.5
881,2018-07-24,91.5
882,2018-07-25,91.5
883,2018-07-26,91.5
884,2018-07-27,89.5
885,2018-07-30,89.5
886,2018-07-31,89.5
887,2018-08-01,87.5
888,2018-08-02,85.5
889,2018-08-03,84.5
890,2018-08-06,83.5
891,2018-08-07,83.5
892,2018-08-08,83.5
893,2018-08-09,83.5
894,2018-08-10,83.5
895,2018-08-13,82.5
896,2018-08-14,80.5
897,2018-08-15,79.5
898,2018-08-16,79.5
899,2018-08-17,79.5
900,2018-08-20,79.5
901,2018-08-21,79.5
902,2018-08-22,79.5
903,2018-08-23,78.5
904,2018-08-24,78.5
905,2018-08-27,76.5
906,2018-08-28,74.5
907,2018-08-29,74.5
908,2018-08-30,74.5
909,2018-08-31,74.5
910,2018-09-03,74.5
911,2018-09-04,74.5
912,2018-09-05,74.5
913,2018-09-06,74.5
914,2018-09-07,74.5
915,2018-09-10,74.5
916,2018-09-11,74.5
917,2018-09-12,74.5
918,2018-09-13,74.5
919,2018-09-14,74.5
920,2018-09-17,73.5
921,2018-09-18,72.5
922,2018-09-19,72.5
923,2018-09-20,71.0
924,2018-09-21,71.0
925,2018-09-25,71.0
926,2018-09-26,71.0
927,2018-09-27,71.0
928,2018-09-28,71.0
929,2018-09-29,71.0
930,2018-10-08,71.0
931,2018-10-09,69.5
932,2018-10-10,68.0
933,2018-10-11,68.0
934,2018-10-12,68.0
935,2018-10-15,68.0
936,2018-10-16,68.0
937,2018-10-17,68.0
938,2018-10-18,68.0
939,2018-10-19,68.0
940,2018-10-22,68.0
941,2018-10-23,68.0
942,2018-10-24,68.0
943,2018-10-25,68.0
944,2018-10-26,68.0
945,2018-10-29,68.0
946,2018-10-30,69.0
947,2018-10-31,69.0
948,2018-11-01,70.0
949,2018-11-02,70.0
950,2018-11-05,70.0
951,2018-11-06,70.0
952,2018-11-07,70.0
953,2018-11-08,70.0
954,2018-11-09,70.0
955,2018-11-12,70.0
956,2018-11-13,70.0
957,2018-11-14,70.0
958,2018-11-15,70.0
959,2018-11-16,70.0
960,2018-11-19,70.0
961,2018-11-20,70.0
962,2018-11-21,70.0
963,2018-11-22,70.0
964,2018-11-23,70.0
965,2018-11-26,70.0
966,2018-11-27,70.0
967,2018-11-28,70.0
968,2018-11-29,70.0
