"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018년 11월 19일","70.69","71.27","73.35","70.58","48.54M","-0.24%"
"2018년 11월 16일","70.86","69.04","71.14","69.02","36.03M","1.68%"
"2018년 11월 15일","69.69","68.47","69.72","67.81","23.13M","1.29%"
"2018년 11월 14일","68.80","68.54","69.42","67.43","25.20M","1.55%"
"2018년 11월 13일","67.75","66.63","68.94","66.44","27.24M","2.25%"
"2018년 11월 12일","66.26","69.67","69.96","66.07","34.71M","-5.48%"
"2018년 11월 09일","70.10","69.80","70.80","69.05","25.49M","-0.26%"
"2018년 11월 08일","70.28","69.70","71.52","69.69","35.45M","0.93%"
"2018년 11월 07일","69.63","68.67","70.24","68.16","36.87M","2.08%"
"2018년 11월 06일","68.21","67.81","69.76","67.22","33.81M","-0.10%"
"2018년 11월 05일","68.28","68.10","68.79","66.03","39.16M","-1.44%"
"2018년 11월 02일","69.28","68.75","69.84","68.18","39.04M","0.61%"
"2018년 11월 01일","68.86","67.65","69.57","66.94","40.00M","2.08%"
"2018년 10월 31일","67.46","66.51","68.40","65.82","38.12M","2.24%"
"2018년 10월 30일","65.98","65.68","67.58","64.45","45.63M","-1.48%"
"2018년 10월 29일","66.97","67.49","69.43","65.30","72.43M","1.19%"
"2018년 10월 26일","66.18","61.65","67.98","61.33","137.13M","5.10%"
"2018년 10월 25일","62.97","63.44","64.20","60.20","104.20M","9.13%"
"2018년 10월 24일","57.70","60.21","60.89","57.15","100.29M","-1.92%"
"2018년 10월 23일","58.83","52.77","59.59","52.42","95.14M","12.72%"
"2018년 10월 22일","52.19","52.14","52.37","50.52","28.00M","0.37%"
"2018년 10월 19일","52.00","53.48","53.93","50.70","46.88M","-1.48%"
"2018년 10월 18일","52.78","53.86","54.20","52.60","27.11M","-2.91%"
"2018년 10월 17일","54.36","56.48","56.54","53.16","43.28M","-1.74%"
"2018년 10월 16일","55.32","53.14","55.48","52.45","47.63M","6.55%"
"2018년 10월 15일","51.92","51.81","52.66","50.91","31.00M","0.31%"
"2018년 10월 12일","51.76","52.20","52.40","50.40","36.01M","2.60%"
"2018년 10월 11일","50.45","51.51","52.45","49.81","40.84M","-1.81%"
"2018년 10월 10일","51.38","52.92","53.10","49.55","64.08M","-2.25%"
"2018년 10월 09일","52.56","51.05","53.35","50.66","60.30M","4.89%"
"2018년 10월 08일","50.11","52.90","53.55","49.80","67.36M","-4.35%"
"2018년 10월 05일","52.39","54.93","54.98","52.00","89.72M","-7.06%"
"2018년 10월 04일","56.37","58.79","58.80","55.53","49.07M","-4.39%"
"2018년 10월 03일","58.96","60.67","60.92","58.31","39.97M","-2.06%"
"2018년 10월 02일","60.20","62.79","63.37","59.83","58.72M","-3.12%"
"2018년 10월 01일","62.14","61.15","62.29","60.21","108.89M","17.36%"
"2018년 09월 28일","52.95","54.05","55.60","52.11","168.25M","-13.90%"
"2018년 09월 27일","61.50","62.58","62.99","61.38","42.55M","-0.68%"
"2018년 09월 26일","61.92","60.38","62.78","60.22","39.22M","2.86%"
"2018년 09월 25일","60.20","60.00","60.92","59.30","22.41M","0.43%"
"2018년 09월 24일","59.94","59.70","60.60","58.72","24.21M","0.20%"
"2018년 09월 21일","59.82","59.54","60.12","59.07","25.25M","0.25%"
"2018년 09월 20일","59.67","60.71","61.20","58.67","36.75M","-0.22%"
