"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018년 07월 03일","6,511.00","6,568.25","6,612.75","6,494.00","-","-0.88%"
"2018년 07월 02일","6,569.00","6,625.50","6,635.25","6,520.25","-","-0.77%"
"2018년 06월 29일","6,620.00","6,633.25","6,693.00","6,610.50","-","-0.09%"
"2018년 06월 28일","6,625.75","6,694.00","6,702.25","6,590.75","-","-1.04%"
"2018년 06월 27일","6,695.50","6,725.00","6,746.50","6,667.50","-","-0.47%"
"2018년 06월 26일","6,727.00","6,711.50","6,744.75","6,692.25","-","0.34%"
"2018년 06월 25일","6,704.50","6,821.00","6,836.00","6,702.50","-","-1.47%"
"2018년 06월 22일","6,804.25","6,798.75","6,829.50","6,769.50","-","0.11%"
"2018년 06월 21일","6,797.00","6,817.75","6,842.50","6,772.50","-","-0.24%"
"2018년 06월 20일","6,813.25","6,817.75","6,870.25","6,773.25","-","-0.19%"
"2018년 06월 19일","6,826.25","6,971.00","7,000.25","6,809.50","-","-2.09%"
"2018년 06월 18일","6,972.00","7,006.25","7,027.50","6,919.00","-","-0.58%"
"2018년 06월 15일","7,012.75","7,141.25","7,168.00","6,996.25","-","-2.05%"
"2018년 06월 14일","7,159.50","7,234.50","7,235.75","7,156.75","-","-1.13%"
"2018년 06월 13일","7,241.50","7,211.25","7,258.75","7,169.75","-","0.37%"
"2018년 06월 12일","7,214.50","7,226.00","7,257.50","7,196.25","-","-0.13%"
"2018년 06월 11일","7,223.75","7,312.25","7,329.00","7,212.75","-","-1.11%"
"2018년 06월 08일","7,305.00","7,251.25","7,332.75","7,211.50","-","0.76%"
"2018년 06월 07일","7,249.75","7,238.75","7,347.00","7,232.75","-","0.24%"
"2018년 06월 06일","7,232.25","7,123.50","7,251.75","7,092.25","-","1.63%"
"2018년 06월 05일","7,116.25","6,982.50","7,116.75","6,953.00","-","1.87%"
"2018년 06월 04일","6,985.75","6,917.75","6,991.00","6,893.25","-","1.17%"
"2018년 06월 01일","6,905.00","6,838.50","6,911.75","6,826.50","-","1.12%"
"2018년 05월 31일","6,828.25","6,848.50","6,896.00","6,801.75","-","-0.19%"
"2018년 05월 30일","6,841.25","6,821.25","6,855.75","6,727.75","-","0.19%"
"2018년 05월 29일","6,828.00","6,843.00","6,938.50","6,825.25","-","-0.42%"
"2018년 05월 25일","6,857.00","6,908.50","6,941.50","6,842.50","-","-0.78%"
"2018년 05월 24일","6,910.75","6,849.00","6,912.50","6,838.75","-","1.10%"
"2018년 05월 23일","6,835.75","6,957.00","6,968.75","6,811.50","-","-1.81%"
"2018년 05월 22일","6,961.50","6,897.00","6,998.50","6,876.50","-","0.93%"
"2018년 05월 21일","6,897.25","6,842.00","6,919.00","6,829.25","-","1.07%"
"2018년 05월 18일","6,824.00","6,870.50","6,881.00","6,810.50","-","-0.54%"
"2018년 05월 17일","6,861.25","6,850.25","6,899.50","6,833.50","-","0.21%"
"2018년 05월 16일","6,846.75","6,810.50","6,849.50","6,783.75","-","0.52%"
"2018년 05월 15일","6,811.00","6,876.75","6,904.50","6,765.25","-","-1.05%"
"2018년 05월 14일","6,883.00","6,927.50","6,957.00","6,850.50","-","-0.57%"
"2018년 05월 11일","6,922.25","6,918.00","6,946.75","6,896.75","-","0.05%"
"2018년 05월 10일","6,918.50","6,818.50","6,927.50","6,798.75","-","1.49%"
"2018년 05월 09일","6,816.75","6,822.50","6,826.50","6,766.50","-","0.01%"
"2018년 05월 08일","6,816.25","6,830.00","6,870.00","6,720.75","-","-0.42%"
"2018년 05월 04일","6,845.00","6,863.25","6,892.00","6,790.50","-","-0.30%"
"2018년 05월 03일","6,865.50","6,808.00","6,925.75","6,791.50","-","0.72%"
"2018년 05월 02일","6,816.50","6,773.25","6,855.75","6,773.25","-","0.82%"
"2018년 05월 01일","6,760.75","6,817.25","6,833.50","6,711.50","-","-0.88%"
"2018년 04월 30일","6,820.75","6,821.50","6,851.25","6,785.00","-","0.11%"
"2018년 04월 27일","6,813.25","6,962.25","6,969.00","6,777.50","-","-2.19%"
"2018년 04월 26일","6,966.00","6,979.50","7,007.00","6,890.25","-","-0.16%"
"2018년 04월 25일","6,977.00","6,988.00","7,027.00","6,948.75","-","-0.06%"
"2018년 04월 24일","6,981.25","6,923.50","7,049.25","6,910.50","-","0.81%"
"2018년 04월 23일","6,925.00","6,976.75","7,040.00","6,858.00","-","-0.78%"
"2018년 04월 20일","6,979.25","6,964.75","7,006.75","6,924.50","-","0.23%"
"2018년 04월 19일","6,963.00","7,036.00","7,109.75","6,935.50","-","-1.03%"
"2018년 04월 18일","7,035.75","6,878.25","7,073.75","6,861.25","-","2.35%"
"2018년 04월 17일","6,874.00","6,884.75","6,910.50","6,813.00","-","-0.12%"
"2018년 04월 16일","6,882.00","6,838.25","6,936.25","6,783.00","-","0.72%"
"2018년 04월 13일","6,832.50","6,805.50","6,882.25","6,802.00","-","0.16%"
"2018년 04월 12일","6,821.50","6,913.50","6,933.25","6,771.75","-","-1.30%"
"2018년 04월 11일","6,911.50","6,962.50","6,987.00","6,896.00","-","-0.83%"
"2018년 04월 10일","6,969.50","6,827.50","6,972.50","6,816.75","-","1.69%"
"2018년 04월 09일","6,854.00","6,772.00","6,854.25","6,751.75","-","1.42%"
