,date,매출액,매출원가,매출총이익,영업이익,순이익,자산총계,매출총이익률,영업이익률,주당순이익EPS(달러),주가수익배수PER(배),총자산이익률ROA(%)
943,2018-08-30,18952.94694960212,15270.907161803714,3682.0397877984087,-452.28647214854107,-929.7665782493368,28926.29177718833,19.950567317117994,-2.8967213327125902,-1.0937665782493369,-62.73641909814324,-3.4220159151193634
944,2018-08-31,18983.164456233422,15296.787798408488,3686.376657824934,-451.51193633952255,-930.3236074270557,28936.09549071618,19.93711667833379,-2.8836033728597528,-1.0943236074270557,-62.68610079575597,-3.4217506631299734
945,2018-09-04,19013.38196286472,15322.668435013264,3690.713527851459,-450.737400530504,-930.8806366047745,28945.899204244033,19.923666039549584,-2.8704854130069153,-1.0948806366047745,-62.6357824933687,-3.4214854111405835
946,2018-09-05,19043.59946949602,15348.549071618037,3695.0503978779843,-449.9628647214854,-931.4376657824934,28955.702917771883,19.91021540076538,-2.8573674531540774,-1.0954376657824934,-62.58546419098143,-3.4212201591511935
947,2018-09-06,19073.81697612732,15374.429708222811,3699.3872679045094,-449.18832891246683,-931.9946949602122,28965.506631299733,19.896764761981174,-2.84424949330124,-1.0959946949602122,-62.535145888594165,-3.4209549071618035
948,2018-09-07,19104.034482758623,15400.310344827587,3703.7241379310344,-448.41379310344826,-932.551724137931,28975.310344827587,19.883314123196968,-2.8311315334484024,-1.096551724137931,-62.4848275862069,-3.4206896551724135
949,2018-09-10,19134.251989389923,15426.19098143236,3708.06100795756,-447.63925729442974,-933.1087533156499,28985.114058355437,19.869863484412765,-2.818013573595565,-1.0971087533156498,-62.43450928381963,-3.420424403183024
950,2018-09-11,19164.469496021222,15452.071618037135,3712.397877984085,-446.8647214854111,-933.6657824933686,28994.917771883287,19.85641284562856,-2.8048956137427274,-1.0976657824933687,-62.38419098143236,-3.420159151193634
951,2018-09-12,19194.68700265252,15477.95225464191,3716.73474801061,-446.0901856763926,-934.2228116710876,29004.72148541114,19.842962206844355,-2.79177765388989,-1.0982228116710875,-62.33387267904509,-3.419893899204244
952,2018-09-13,19224.90450928382,15503.832891246686,3721.0716180371355,-445.31564986737396,-934.7798408488063,29014.52519893899,19.82951156806015,-2.7786596940370525,-1.0987798408488063,-62.283554376657825,-3.419628647214854
953,2018-09-14,19255.12201591512,15529.71352785146,3725.4084880636606,-444.54111405835545,-935.3368700265252,29024.328912466844,19.816060929275945,-2.765541734184215,-1.0993368700265251,-62.23323607427056,-3.419363395225464
954,2018-09-17,19285.33952254642,15555.594164456234,3729.7453580901856,-443.7665782493369,-935.893899204244,29034.132625994695,19.80261029049174,-2.752423774331377,-1.099893899204244,-62.18291777188329,-3.419098143236074
955,2018-09-18,19315.55702917772,15581.47480106101,3734.082228116711,-442.9920424403183,-936.4509283819629,29043.936339522545,19.789159651707536,-2.7393058144785396,-1.1004509283819628,-62.13259946949602,-3.418832891246684
956,2018-09-19,19345.774535809018,15607.355437665783,3738.419098143236,-442.2175066312997,-937.0079575596817,29053.7400530504,19.77570901292333,-2.726187854625702,-1.1010079575596816,-62.08228116710875,-3.4185676392572946
957,2018-09-20,19375.992042440317,15633.236074270557,3742.755968169761,-441.44297082228115,-937.5649867374005,29063.54376657825,19.762258374139126,-2.7130698947728646,-1.1015649867374004,-62.031962864721486,-3.4183023872679046
958,2018-09-21,19406.209549071616,15659.116710875333,3747.0928381962867,-440.6684350132626,-938.1220159151194,29073.347480106102,19.74880773535492,-2.699951934920027,-1.1021220159151193,-61.98164456233422,-3.4180371352785146
959,2018-09-24,19436.427055702916,15684.997347480106,3751.4297082228118,-439.893899204244,-938.6790450928381,29083.151193633952,19.735357096570716,-2.6868339750671897,-1.102679045092838,-61.93132625994695,-3.4177718832891246
960,2018-09-25,19466.644562334215,15710.87798408488,3755.766578249337,-439.1193633952255,-939.2360742705571,29092.954907161802,19.72190645778651,-2.673716015214352,-1.103236074270557,-61.88100795755968,-3.4175066312997346
961,2018-09-26,19496.862068965514,15736.758620689656,3760.1034482758623,-438.34482758620686,-939.7931034482758,29102.758620689656,19.708455819002307,-2.6605980553615147,-1.1037931034482757,-61.830689655172414,-3.4172413793103447
962,2018-09-27,19527.079575596817,15762.639257294431,3764.4403183023874,-437.57029177718834,-940.3501326259947,29112.562334217506,19.6950051802181,-2.6474800955086772,-1.1043501326259946,-61.780371352785146,-3.4169761273209547
963,2018-09-28,19557.297082228117,15788.519893899203,3768.7771883289124,-436.7957559681697,-940.9071618037135,29122.36604774536,19.681554541433897,-2.6343621356558398,-1.1049071618037134,-61.73005305039788,-3.4167108753315647
964,2018-10-01,19587.514588859416,15814.40053050398,3773.114058355438,-436.0212201591512,-941.4641909814324,29132.16976127321,19.66810390264969,-2.6212441758030023,-1.1054641909814322,-61.67973474801062,-3.416445623342175
965,2018-10-02,19617.732095490715,15840.281167108755,3777.450928381963,-435.2466843501326,-942.0212201591512,29141.97347480106,19.654653263865484,-2.608126215950165,-1.106021220159151,-61.62941644562335,-3.416180371352785
966,2018-10-03,19647.94960212202,15866.161803713529,3781.787798408488,-434.47214854111405,-942.57824933687,29151.777188328913,19.64120262508128,-2.5950082560973273,-1.1065782493368699,-61.57909814323608,-3.415915119363395
967,2018-10-04,19678.167108753318,15892.042440318302,3786.1246684350135,-433.6976127320955,-943.1352785145889,29161.580901856763,19.627751986297078,-2.58189029624449,-1.1071352785145887,-61.52877984084881,-3.415649867374005
